,Video Title,Links,Channel Name,Duration,Views,Likes,No. of Comments,Days since Upload
0,Green Day - Boulevard Of Broken Dreams [Official Music Video],https://www.youtube.com/watch?v=Soa3gO7tL-c,Green Day,04:47,61563035,5119946,159649,3373
1,Green Day - 21 Guns [Official Music Video],https://www.youtube.com/watch?v=r00ikilDxW4,Green Day,00:20,41942111,2613441,120025,4562
2,Green Day - Wake Me Up When September Ends [Official Music Video],https://www.youtube.com/watch?v=NU9JoFKlaZ0,Green Day,07:12,19266099,1501178,103306,4543
3,Green Day Greatest Hits Playlist,https://www.youtube.com/watch?v=R4znDKo7DU8,Superproxy Videos,49:46:00,144153,11469,604,723
4,Green Day - Basket Case [Official Music Video],https://www.youtube.com/watch?v=NUTGr5t3MoY,Green Day,03:12,28056480,1603680,60953,4543
5,GREENDAY GREATEST HITS,https://www.youtube.com/watch?v=LbCs5AxtSzk,Muzika Sa Kabinet,01:24:10,123211,6565,274,936
6,Green Day - American Idiot [Official Music Video],https://www.youtube.com/watch?v=Ee_uujKuJMI,Green Day,03:02,20715952,1478101,62724,3513
7,Green Day Greatest Hits || Best Songs Of Greenday 2020.#01,https://www.youtube.com/watch?v=tgBhuKGLL78,Top Rock,01:10:16,56210,5383,155,553
8,Green Day - Holiday [Official Music Video],https://www.youtube.com/watch?v=A1OqtIqzScI,Green Day,04:41,11077267,778350,21393,3373
9,"90s Alternative Rock - Incubus, Oasis, Matchbox 20, RHCP, Vertical Horizon, Bush, No Doubt",https://www.youtube.com/watch?v=IvCpl0m8vck,Alternative Rock Music 90's,01:26:32,257626,16053,300,438
10,"Alternative Rock Of The 2000s 2000 - 2009 Linkin Park, Creed, 3 Doors Down, Nirvana",https://www.youtube.com/watch?v=_nsq5Lgg6zE,Alternative Rock Music 90's,01:22:02,1109052,85834,1510,432
11,Green Day - 21 guns with lyrics,https://www.youtube.com/watch?v=qcOK_YATp6U,lyricMyric,05:26,9562417,488580,28883,4562
12,Creed - One Last Breath (Official Video),https://www.youtube.com/watch?v=qnkuBUAwfe0,Creed,03:59,25926561,1260588,43592,4507
13,Green Day - Wake Me Up When September Ends [Short Version] (Video),https://www.youtube.com/watch?v=R1JXYgwwDeY,Green Day,06:49,805469,46292,4721,4543
14,Green Day - Macy's Day Parade [Official Music Video],https://www.youtube.com/watch?v=4EL4njT8g98,Green Day,03:50,1329893,82414,5505,4543
15,"February 23, 2022",https://www.youtube.com/watch?v=Zy6-MWRHuEU,Green Day,00:19,9273,4295,165,40
16,"February 22, 2022",https://www.youtube.com/watch?v=TnLY_3HzqRA,Green Day,00:09,6027,5679,225,42
17,Green Day - American Idiot,https://www.youtube.com/watch?v=V9NFs7qPwuk,Green Day,03:01,496262,86120,3776,3493
18,Codfish | Boulevard of Broken Dreams (Green Day Beatbox Cover),https://www.youtube.com/watch?v=vZjjgw8Nc6Q,Codfish - Boots n' cats!,02:31,3086713,936853,43877,891
19,Green Day - When I Come Around [Official Music Video],https://www.youtube.com/watch?v=i8dh9gDzmz8,Green Day,02:57,10148407,525908,21308,4543
20,Green Day - Good Riddance (Time Of Your Life) [Official Music Video],https://www.youtube.com/watch?v=CnQ8N1KacJc,Green Day,02:31,8003089,516691,28605,4543
21,Green Day - Boulevard of Broken Dreams (Lyrics),https://www.youtube.com/watch?v=51XzW98wEDg,7clouds,04:21,1037599,165534,4936,1066
22,Green Day - Oh Love [Official Music Video],https://www.youtube.com/watch?v=IWwMqa-_210,Green Day,05:08,4445277,285690,18765,3518
23,Green Day - Wake Me Up When September Ends (Lyrics),https://www.youtube.com/watch?v=VOJqRknAKVE,SuperbLyrics,04:45,1009457,88306,3281,579
24,Green Day - Know Your Enemy [Official Music Video],https://www.youtube.com/watch?v=9IclmVdWNbI,Green Day,03:12,2575652,199859,8756,3373
